Architecture,Label,NORAD_CAT_ID,ObjectName,Frequency_GHz,Elevation_deg,AtmosphericGasLoss_dB
HAPS,HAPS1,,HAPS1,31.15,79.9999999999987,0.464872051720008
HAPS,HAPS2,,HAPS2,31.15,30.0000000000005,0.915619201385096
HAPS,HAPS3,,HAPS3,31.15,30.0000000000005,0.915619201385093
HAPS,HAPS4,,HAPS4,31.15,24.9999999999995,1.08326980194116
LEO,LEO1,65175,STARLINK-34949,20,80.4062965591807,0.579644055327962
LEO,LEO2,66864,STARLINK-36070,20,49.9606962091958,0.746518913898671
LEO,LEO3,65348,STARLINK-34859,20,43.9635267478038,0.823303231135809
LEO,LEO4,59340,STARLINK-31562,20,34.4189453674273,1.01114139066859
LEO,LEO5,67736,STARLINK-36317,20,34.2779778058556,1.01478825882666
LEO,LEO6,59960,STARLINK-31856,20,27.8539778863297,1.22327301575003
LEO,LEO7,65279,STARLINK-35023,20,25.910177411834,1.30798084169194
LEO,LEO8,48482,STARLINK-2525,20,23.1946445285598,1.45113281870393
LEO,LEO9,59544,STARLINK-31556,20,22.970470824131,1.46451659034262
LEO,LEO10,57470,STARLINK-30186,20,22.3161049846274,1.50516978347389
LEO,LEO11,67011,STARLINK-36167,20,21.4604501520916,1.56217975949764
LEO,LEO12,66267,STARLINK-35550,20,20.7342459273151,1.61435772727494
LEO,LEO13,65388,STARLINK-34957,20,19.4265851717204,1.71839900413771
LEO,LEO14,64047,STARLINK-33961,20,17.2135831832007,1.93129675794796
LEO,LEO15,64037,STARLINK-34008,20,16.7835142627001,1.97930674357461
LEO,LEO16,56537,STARLINK-6311,20,16.1217564239417,2.05826299888459
LEO,LEO17,60271,STARLINK-32164,20,15.4416586013865,2.14656258851512
LEO,LEO18,58736,STARLINK-31076,20,14.1359196170918,2.34022749922712
LEO,LEO19,67734,STARLINK-36749,20,13.9357374939901,2.37316419241918
LEO,LEO20,67950,STARLINK-36887,20,12.472383900209,2.64638583693544
MEO,MEO1,62362,O3B MPOWER F7,20,50.8896244417758,0.736581586655193
MEO,MEO2,40081,O3B FM6,20,50.4747772802389,0.740962520969621
MEO,MEO3,44115,O3B FM18,20,40.5135556648317,0.879791847222677
MEO,MEO4,43231,O3B FM15,20,31.4629433849282,1.09501033455318
MEO,MEO5,43234,O3B FM13,20,15.9690137846431,2.07743039410545
MEO,MEO6,40080,O3B FM7,20,15.966575544296,2.07773937979725
MEO,MEO7,40079,O3B FM3,20,8.11451396242544,4.04909100636144
GEO,GEO1,41589,EUTE 117W B,19.95,6.27790923471064,5.12729057647945
GEO,GEO2,41904,STARONE D1,19.95,37.3455227496189,0.924259870275027
GEO,GEO3,42692,SGDC,19.95,45.5833905310938,0.784962091413857
GEO,GEO4,43562,TELSTAR 19V,19.95,55.2029571956807,0.682768269020628
GEO,GEO5,43175,SES 14,19.95,62.8111617872626,0.63032189888848
GEO,GEO6,43228,HISPASAT 30W-6,19.95,59.335087591415,0.651822486470221
GEO,GEO7,38087,SES 4,19.95,54.0922879744417,0.69222290121634
