PoolIndex,Label,Architecture,NORAD_CAT_ID,ObjectName
1,HAPS1,HAPS,,HAPS1
2,HAPS2,HAPS,,HAPS2
3,HAPS3,HAPS,,HAPS3
4,HAPS4,HAPS,,HAPS4
5,LEO1,LEO,65175,STARLINK-34949
6,LEO2,LEO,66864,STARLINK-36070
7,LEO3,LEO,65348,STARLINK-34859
8,LEO4,LEO,59340,STARLINK-31562
9,LEO5,LEO,67736,STARLINK-36317
10,LEO6,LEO,59960,STARLINK-31856
11,LEO7,LEO,65279,STARLINK-35023
12,LEO8,LEO,48482,STARLINK-2525
13,MEO1,MEO,62362,O3B MPOWER F7
14,MEO2,MEO,40081,O3B FM6
15,MEO3,MEO,44115,O3B FM18
16,MEO4,MEO,43231,O3B FM15
17,MEO5,MEO,43234,O3B FM13
18,MEO6,MEO,40080,O3B FM7
19,MEO7,MEO,40079,O3B FM3
20,GEO1,GEO,41589,EUTE 117W B
21,GEO2,GEO,41904,STARONE D1
22,GEO3,GEO,42692,SGDC
23,GEO4,GEO,43562,TELSTAR 19V
24,GEO5,GEO,43175,SES 14
25,GEO6,GEO,43228,HISPASAT 30W-6
26,GEO7,GEO,38087,SES 4
