FinalSetOrder,PoolIndex,Label,Architecture,NORAD_CAT_ID,ObjectName,Elevation_deg,SlantRange_km,Frequency_GHz,EIRP_PSD_dBW_MHz,ReceiverFoM_dBK,AtmosphericGasLoss_dB,AdditionalLoss_dB,FSPL_dB,EIRP_positioning_dBW,CN0_dBHz,SigmaRho_m,VarianceRho_m2,ReceiverChain,ParameterSource
1,1,HAPS1,HAPS,,HAPS1,79.9999999999987,20.2973898641975,31.15,-9.1,12.3,0.464872051720008,0,148.467964891017,-29.0012436628784,62.9659193943846,0.234398178950349,0.0549425062952398,HAPS reference CPE,ITU-R F.2439 System 6: HAPS->CPE nominal parameters
2,2,HAPS2,HAPS,,HAPS2,30.0000000000005,39.7939362087586,31.15,-9.1,12.3,0.915619201385096,0,154.315499008257,-29.0012436628784,56.6676381274792,0.484025560620972,0.234280743334446,HAPS reference CPE,ITU-R F.2439 System 6: HAPS->CPE nominal parameters
3,3,HAPS3,HAPS,,HAPS3,30.0000000000005,39.7939362087597,31.15,-9.1,12.3,0.915619201385093,0,154.315499008258,-29.0012436628784,56.667638127479,0.484025560620984,0.234280743334458,HAPS reference CPE,ITU-R F.2439 System 6: HAPS->CPE nominal parameters
4,5,LEO1,LEO,65175,STARLINK-34949,80.4062965591807,480.878513591036,20,12.274129887837,10.5,0.579644055327962,0,172.111307364204,-7.62711377504136,58.7819348054267,0.37944904379941,0.143981576840287,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
5,8,LEO4,LEO,59340,STARLINK-31562,34.4189453674273,804.269824333788,20,16.9436147780766,10.5,1.01114139066859,0,176.578635404671,-2.95762888480179,58.5525943198591,0.389601380463598,0.151789235659141,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
6,9,LEO5,LEO,67736,STARLINK-36317,34.2779778058556,789.392601949281,20,16.9579284074054,10.5,1.01478825882666,0,176.416460952198,-2.94331525547297,58.7254355335024,0.38192529816713,0.145866933380051,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
7,10,LEO6,LEO,59960,STARLINK-31856,27.8539778863297,903.944909703246,20,17.6102114761573,10.5,1.22327301575003,0,177.593439183386,-2.29103218672111,57.9922556141431,0.41556352578583,0.17269304396355,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
8,11,LEO7,LEO,65279,STARLINK-35023,25.910177411834,1107.74212808274,20,17.8075819858753,10.5,1.30798084169194,0,179.359373363275,-2.09366167700308,56.3389841180304,0.502690869527472,0.252698110306286,Starlink Gen2 user terminal,SpaceX Gen2 Technical Attachment Table A.4-5 + interpolation
9,14,MEO2,MEO,40081,O3B FM6,50.4747772802389,8934.77359425547,20,29.7,18.4,0.740962520969621,0,197.492270953837,9.7987563371216,58.5655228623151,0.389021908307775,0.151338045143423,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
10,17,MEO5,MEO,43234,O3B FM13,15.9690137846431,11317.2582190465,20,29.7,18.4,2.07743039410545,0,199.545424413991,9.7987563371216,55.1759015290248,0.574718433063963,0.330301277303497,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
11,18,MEO6,MEO,40080,O3B FM7,15.966575544296,11314.7800522445,20,29.7,18.4,2.07773937979725,0,199.543522235922,9.7987563371216,55.1774947214025,0.574613026122859,0.33018012979007,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
12,19,MEO7,MEO,40079,O3B FM3,8.11451396242544,12090.7024046762,20,29.7,18.4,4.04909100636144,0,200.119630548549,9.7987563371216,52.6300347822107,0.770457103972038,0.59360414906098,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
