K,RemovedPoolIndex,RemovedLabel,RemovedArchitecture,PositionalBound_m
26,NaN,,,0.494740028560825
25,22,GEO3,GEO,0.49627531333203
24,26,GEO7,GEO,0.497959620752725
23,21,GEO2,GEO,0.499650546688399
22,25,GEO6,GEO,0.50309810426337
21,23,GEO4,GEO,0.507314134931879
20,15,MEO3,MEO,0.511904824940053
19,12,LEO8,LEO,0.517274474495967
18,7,LEO3,LEO,0.522950481874631
17,13,MEO1,MEO,0.528927199284293
16,16,MEO4,MEO,0.53651232181596
15,24,GEO5,GEO,0.543961752641891
14,6,LEO2,LEO,0.554234387546898
13,4,HAPS4,HAPS,0.566461994352579
12,20,GEO1,GEO,0.582684650269629
11,14,MEO2,MEO,0.599850649315431
