SelectionOrder,PoolIndex,Label,Architecture,NORAD_CAT_ID,ObjectName,Elevation_deg,SlantRange_km,CN0_dBHz,SigmaRho_m,VarianceRho_m2
1,1,HAPS1,HAPS,,HAPS1,79.9999999999996,20.2973898641976,62.9726305536248,0.234217140967542,0.0548576691230096
2,8,LEO4,LEO,59340,STARLINK-31562,34.4189453674273,804.269824333788,58.5631498551288,0.389128204604147,0.151420759618447
3,9,LEO5,LEO,67736,STARLINK-36317,34.2779778058556,789.392601949281,58.7360291392594,0.381459773055721,0.145511558459722
4,18,MEO6,MEO,40080,O3B FM7,15.966575544296,11314.7800522445,55.1991847160038,0.573179919619263,0.328535220254744
5,2,HAPS2,HAPS,,HAPS2,30.0000000000005,39.793936208759,56.6808565307821,0.483289518666486,0.233568758852884
6,17,MEO5,MEO,43234,O3B FM13,15.9690137846431,11317.2582190465,55.1975882980542,0.573285276565353,0.328656008326614
7,19,MEO7,MEO,40079,O3B FM3,8.11451396242544,12090.7024046762,52.6723041654271,0.766716827015013,0.58785469282797
8,11,LEO7,LEO,65279,STARLINK-35023,25.910177411834,1107.74212808274,56.3526384279361,0.501901254994948,0.251904869765504
9,5,LEO1,LEO,65175,STARLINK-34949,80.4062965591807,480.878513591036,58.7879858417371,0.379184792185961,0.14378110662511
10,3,HAPS3,HAPS,,HAPS3,30.0000000000006,39.79393620876,56.6808565307819,0.483289518666499,0.233568758852896
11,10,LEO6,LEO,59960,STARLINK-31856,27.8539778863297,903.944909703246,58.0050256397611,0.41495301172269,0.172186001937731
