B,TailRank,TrialID,ErrorRobustBE_m,ErrorFullWLS_m,ExactDetection,DetectionRate,KfinalBE,FinalBoundBE_m,BoundFeasible
0,1,5593,1.73351646038537,1.18333598098239,1,1,12,0.583634461213687,1
0,2,1179,1.72664039794674,1.2728127596784,1,1,12,0.583634461213687,1
0,3,984,1.67717383765254,1.70756873232809,1,1,12,0.583634461213687,1
0,4,9889,1.67703768903777,1.11035155927717,1,1,12,0.583634461213687,1
0,5,7602,1.66287610283001,0.954117234647927,1,1,12,0.583634461213687,1
0,6,1860,1.63244908564359,1.32847394413214,1,1,12,0.583634461213687,1
0,7,6052,1.59763674800423,1.22355207193161,1,1,12,0.583634461213687,1
0,8,527,1.59259424019731,1.23362246174061,1,1,12,0.583634461213687,1
0,9,7685,1.58986171006924,1.61020477683078,1,1,12,0.583634461213687,1
0,10,2171,1.58935065821513,0.949871171923917,1,1,12,0.583634461213687,1
2,1,3308,1.90471964360023,24.4141179042752,1,1,19,0.593438169854511,1
2,2,2805,1.77120639746189,10.1302355528688,1,1,12,0.59132087671801,1
2,3,705,1.75315827252255,3.89931643515732,1,1,12,0.587776893215671,1
2,4,6576,1.70276048342686,5.33172466859464,1,1,12,0.583671468678517,1
2,5,8194,1.70180677523155,7.70941787799374,1,1,14,0.588866232421628,1
2,6,6196,1.62456501953215,3.64585645179182,1,1,12,0.583671468678517,1
2,7,9144,1.62242748500232,8.85234007633089,1,1,12,0.596799209619069,1
2,8,1601,1.6133175781682,2.53883450089621,1,1,14,0.59569481270692,1
2,9,5954,1.58638870032159,3.61641253035544,1,1,12,0.583671468678517,1
2,10,7145,1.55085458918471,11.8490053578262,1,1,12,0.597966585443805,1
4,1,5793,31.2312324179202,28.8695184256049,0,0.5,22,0.665569821336153,0
4,2,5747,30.9577102218199,40.9186641730171,0,0.75,22,0.680256308626897,0
4,3,5216,23.4487519754368,25.2755077257588,0,0.75,19,0.598664145364064,1
4,4,988,23.4226018481122,20.5734261135002,0,0.75,14,0.594475778843269,1
4,5,7959,19.4961872295838,24.5221301789197,0,0.75,18,0.597006749441485,1
4,6,9256,19.0588483908326,22.2163412537486,0,0.75,14,0.594754290757999,1
4,7,3067,18.6957945838693,25.3499993801234,0,0.75,16,0.597010062290139,1
4,8,2026,17.910627220411,22.1413091894089,0,0.75,19,0.598990464514836,1
4,9,8520,17.8615357112865,16.5165476082297,0,0.75,14,0.594754290757999,1
4,10,8390,17.0290850225374,24.1785191890537,0,0.75,20,0.598200746883677,1
6,1,4,47.7552680146491,29.7871192200883,0,0.5,14,0.59102857022682,1
6,2,8207,46.7171879792292,32.9219103714372,0,0.5,15,0.595615087440252,1
6,3,5941,45.6806993888297,20.1874691510826,0,0.5,20,0.605078686380708,0
6,4,9374,44.2529174844105,39.1238341009838,0,0.5,14,0.594475778843269,1
6,5,6665,41.864166621103,24.8700750612476,0,0.5,17,0.597968152056413,1
6,6,6784,40.5903342659126,32.3130431802823,0,0.5,20,0.615236681986103,0
6,7,2668,39.6555913129342,35.8594367191166,0,0.5,12,0.597070408109718,1
6,8,6258,38.0116861405808,15.2126441029718,0,0.5,14,0.588866232421628,1
6,9,1443,36.9064596650721,11.7664370504601,0,0.666666666666667,20,0.764023876587887,0
6,10,7974,36.5853697276158,15.9107908093826,0,0.5,16,0.595993439896598,1
