TimeOffset_s,TimeUTC,FullVisibleCount,FullBound_m,AdaptiveFeasible,AdaptiveK,AdaptiveBound_m,AdaptiveSetChanged,FixedSubsetVisible,FixedSubsetBound_m,FixedSubsetTargetMet,AdaptiveLabels
0,01-Aug-2026 12:00:00,26,0.495580715753229,1,12,0.58363446078701,0,1,0.58363446078701,1,HAPS1;HAPS2;HAPS3;LEO1;LEO4;LEO5;LEO6;LEO7;MEO2;MEO5;MEO6;MEO7
10,01-Aug-2026 12:00:10,26,0.493685872697096,1,11,0.595474322055432,1,1,0.58234748226474,1,HAPS1;HAPS2;HAPS3;LEO1;LEO4;LEO5;LEO6;LEO7;MEO5;MEO6;MEO7
20,01-Aug-2026 12:00:20,26,0.500651909958317,1,12,0.584038868210016,1,1,0.591082630851546,1,HAPS1;HAPS2;HAPS3;HAPS4;LEO1;LEO4;LEO5;LEO6;MEO5;MEO6;MEO7;GEO1
30,01-Aug-2026 12:00:30,26,0.51045847339098,1,12,0.590789697383578,1,1,0.6042706367431,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO1;LEO3;LEO4;LEO5;MEO5;MEO6;MEO7;GEO1
40,01-Aug-2026 12:00:40,26,0.51696126368835,1,12,0.595156947615863,0,1,0.616534395764401,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO1;LEO3;LEO4;LEO5;MEO5;MEO6;MEO7;GEO1
50,01-Aug-2026 12:00:50,26,0.520493154167542,1,12,0.596272082695001,1,1,0.630729843842954,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO1;LEO3;LEO4;LEO8;MEO5;MEO6;MEO7;GEO1
60,01-Aug-2026 12:01:00,26,0.5168859160685,1,12,0.588515258162068,1,1,0.635945149048388,0,HAPS1;HAPS2;HAPS3;LEO1;LEO3;LEO4;LEO8;MEO5;MEO6;MEO7;GEO1;GEO5
70,01-Aug-2026 12:01:10,26,0.50984845213442,1,11,0.594882058505727,1,1,0.635719939949562,0,HAPS1;HAPS2;HAPS3;LEO1;LEO3;LEO4;LEO8;MEO5;MEO6;MEO7;GEO1
80,01-Aug-2026 12:01:20,26,0.504768890606495,1,11,0.594564517683336,0,1,0.632954154108392,0,HAPS1;HAPS2;HAPS3;LEO1;LEO3;LEO4;LEO8;MEO5;MEO6;MEO7;GEO1
90,01-Aug-2026 12:01:30,26,0.502824421385878,1,11,0.596467734547951,1,1,0.629389467886374,0,HAPS1;HAPS2;HAPS3;LEO1;LEO2;LEO4;LEO8;MEO5;MEO6;MEO7;GEO5
100,01-Aug-2026 12:01:40,26,0.499115074931112,1,11,0.591121796508007,0,1,0.625926447296022,0,HAPS1;HAPS2;HAPS3;LEO1;LEO2;LEO4;LEO8;MEO5;MEO6;MEO7;GEO5
110,01-Aug-2026 12:01:50,26,0.50362534632886,1,11,0.5986556882863,1,1,0.634097089960934,0,HAPS1;HAPS2;HAPS3;LEO1;LEO2;LEO4;LEO8;MEO5;MEO6;MEO7;GEO1
120,01-Aug-2026 12:02:00,26,0.515812730878223,1,12,0.593381801995215,1,1,0.658023027490769,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO1;LEO2;LEO8;MEO2;MEO5;MEO6;MEO7;GEO1
130,01-Aug-2026 12:02:10,26,0.52889804035068,1,13,0.588295515278494,1,1,0.677785078248497,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO2;LEO8;MEO3;MEO4;MEO5;MEO6;MEO7;GEO1;GEO5
140,01-Aug-2026 12:02:20,26,0.539606208614209,1,13,0.593393561008617,1,1,0.691624979881478,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO8;MEO2;MEO3;MEO4;MEO5;MEO6;MEO7;GEO1;GEO5
150,01-Aug-2026 12:02:30,26,0.546629493462715,1,13,0.592845031435986,0,1,0.702649271982215,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO8;MEO2;MEO3;MEO4;MEO5;MEO6;MEO7;GEO1;GEO5
160,01-Aug-2026 12:02:40,26,0.552652611451948,1,13,0.592578448661741,0,1,0.715753975822277,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO8;MEO2;MEO3;MEO4;MEO5;MEO6;MEO7;GEO1;GEO5
170,01-Aug-2026 12:02:50,26,0.563302556083256,1,14,0.594262217603924,1,1,0.7253895048633,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO8;MEO2;MEO3;MEO4;MEO5;MEO6;MEO7;GEO1;GEO4;GEO5
180,01-Aug-2026 12:03:00,26,0.573142802174973,1,15,0.595977361497997,1,1,0.73223149758133,0,HAPS1;HAPS2;HAPS3;HAPS4;LEO8;MEO1;MEO2;MEO3;MEO4;MEO5;MEO6;MEO7;GEO1;GEO4;GEO5
