PoolIndex,Label,Architecture,NORAD_CAT_ID,X_ECEF_m,Y_ECEF_m,Z_ECEF_m,SlantRange_m,Azimuth_deg,Elevation_deg,ElevationMask_deg,Visible,H1,H2,H3,H4
1,HAPS1,HAPS,,4300163.5114,-4038986.2343,-2467878.3986,20297.389824478,45.0065792754119,80.0000001176036,15,1,-0.780042694736072,0.564742544239157,0.26944248572779,1
2,HAPS2,HAPS,,4307453.7286,-4015855.7636,-2492621.1302,39793.9362115273,135.070111198943,29.999999954838,15,1,-0.581069631611261,-0.293202237323043,0.759203879895193,1
3,HAPS3,HAPS,,4274112.7443,-4051322.6714,-2492621.1302,39793.9362070428,224.929888794128,30.000000052134,15,1,0.256771192275196,0.598061889305572,0.75920387998075,1
4,HAPS4,HAPS,,4285517.3843,-4070008.4688,-2442427.3239,46964.5667197924,314.915212423149,25.0000000504954,15,1,-0.0252680613849691,0.90461888692321,-0.425471731723341,1
5,LEO1,LEO,65175,4566254.80341694,-4388060.17914832,-2609976.99653777,480878.513591036,299.735833397304,80.4062965591807,5,1,-0.586268911385579,0.749746004925127,0.306870806108336,1
6,LEO2,LEO,66864,4844301.48152959,-4263800.69839608,-2334724.2682029,621045.683425491,31.9446143440148,49.9606962091958,5,1,-0.901657987051399,0.380450697867735,-0.205597035188675,1
7,LEO3,LEO,65348,4924622.62050169,-3989549.97443109,-2584206.45832634,652878.450010093,82.8001308216561,43.9635267478038,5,1,-0.980721510637374,-0.0581631393982011,0.186553927293135,1
8,LEO4,LEO,59340,4351028.67517544,-4802568.74448212,-2258188.71601828,804269.824333788,308.529515675035,34.4189453674273,5,1,-0.0829298730503578,0.963663295952959,-0.253920633641561,1
9,LEO5,LEO,67736,4130415.00746074,-4536655.0829438,-3045706.60810663,789392.601949282,226.913263585456,34.2779778058556,5,1,0.194979878078918,0.644966328487842,0.738918995737181,1
10,LEO6,LEO,59960,5145622.06446001,-3756021.08842177,-2502158.98630574,903944.909703246,80.2813359948084,27.8539778863297,5,1,-0.952814020488877,-0.300352757555181,0.0439734395837006,1
11,LEO7,LEO,65279,4274574.60318272,-5056804.57193685,-2053046.76619125,1107742.12808274,310.591959585665,25.910177411834,5,1,0.00880717390370997,0.929170346702616,-0.369546885383126,1
12,LEO8,LEO,48482,3903411.88303337,-4983803.98648582,-2623406.717391,1041869.35556647,269.896903505477,23.1946445285598,5,1,0.365610904742204,0.917850733057394,0.154527337903662,1
13,MEO1,MEO,62362,10815350.7856485,-9561264.74365029,15422.7597012526,8911574.98945385,4.50335864318567,50.8896244417758,5,1,-0.732869342695565,0.620961088861389,-0.278046493696735,1
14,MEO2,MEO,40081,9780980.21692632,-10622739.7291548,11483.2796854167,8934773.59425547,349.456511265238,50.4747772802389,5,1,-0.615197405753531,0.738151473548929,-0.276883647136609,1
15,MEO3,MEO,44115,13244193.7212157,-5750780.73884459,12881.8165393857,9453878.99981025,42.7778092776408,40.5135556648317,5,1,-0.947744628490628,0.182280448496334,-0.261828106327675,1
16,MEO4,MEO,43231,4372977.17841781,-13763362.5799808,11174.382134299,10045548.2123742,304.838039249605,31.4629433849282,5,1,-0.00882445594790062,0.969169520610029,-0.246236815480037,1
17,MEO5,MEO,43234,14437355.4356822,320381.211186824,5818.10497403325,11317258.2190465,68.4800639158015,15.9690137846431,5,1,-0.897127604444851,-0.384183568295594,-0.218094124622164,1
18,MEO6,MEO,40080,14434937.5425288,319027.448683211,6785.46677883173,11314780.0522445,68.4721792546663,15.966575544296,5,1,-0.897110400283038,-0.384148066806664,-0.218227387082167,1
19,MEO7,MEO,40079,-1468383.73661374,-14371220.7992362,7263.89949973982,12090702.4046762,286.500521103731,8.11451396242544,5,1,0.47579654389095,0.855508391349253,-0.204262187280076,1
20,GEO1,GEO,41589,-19144951.8262545,-37567141.0381598,-939.4318723926,40986535.1338316,276.427549458435,6.27790923471064,5,1,0.571633645793601,0.818308195457731,-0.060055576289193,1
21,GEO2,GEO,41904,4394800.50544468,-41932687.6145761,-3851.03023687049,37984973.1398669,294.207831556629,37.3455227496189,5,1,-0.00290825069936743,0.997898933356462,-0.0647244998737323,1
22,GEO3,GEO,42692,10983061.3201966,-40707887.4674777,376.40026686869,37368267.443763,302.171548259795,45.5833905310938,5,1,-0.179262542731813,0.981591241497895,-0.0659058069364635,1
23,GEO4,GEO,43562,19130061.0304763,-37565793.9925773,-19072.0040968963,36758416.7144551,317.143220618637,55.2029571956807,5,1,-0.403872954187742,0.912397038707585,-0.0664701484374374,1
24,GEO5,GEO,43175,28482690.7078701,-31084476.7632199,8378.51928851002,36383294.8543781,349.11400001101,62.8111617872626,5,1,-0.66509534455242,0.743664185357172,-0.0679099556158835,1
25,GEO6,GEO,43228,36494011.2200715,-21086045.4462184,26639.5544373358,36532890.0917548,31.1297501397004,59.335087591415,5,1,-0.881662536372826,0.466936012142639,-0.0681317291793183,1
26,GEO7,GEO,38087,39086346.7217081,-15789629.7320438,24474.6420362004,36819995.3476362,44.9912353944173,54.0922879744417,5,1,-0.945193385071873,0.319448880594978,-0.0675416723437409,1
