PoolIndex,Label,Architecture,NORAD_CAT_ID,Visible,Elevation_deg,SlantRange_km,Frequency_GHz,EIRP_PSD_dBW_MHz,ReceiverFoM_dBK,AtmosphericGasLoss_dB,FSPL_dB,EIRP_band_dBW,q_link_dBHz,CN0_positioning_dBHz,Gamma_Hz,SigmaRho_m,VarianceRho_m2
1,HAPS1,HAPS,,1,80.0000001176036,20.297389824478,31.15,-9.1,12.3,0.464872051720008,148.46796487402,-9.0012436628784,82.9659194113818,62.9659194113818,1979666.07672871,0.234398178491661,0.0549425060802084
2,HAPS2,HAPS,,1,29.999999954838,39.7939362115273,31.15,-9.1,12.3,0.915619201385096,154.315499008862,-9.0012436628784,76.6676381268749,56.6676381268749,464262.721273013,0.484025560654648,0.234280743367047
3,HAPS3,HAPS,,1,30.000000052134,39.7939362070428,31.15,-9.1,12.3,0.915619201385093,154.315499007883,-9.0012436628784,76.6676381278537,56.6676381278537,464262.721377651,0.484025560600102,0.234280743314243
4,HAPS4,HAPS,,1,25.0000000504954,46.9645667197925,31.15,-9.1,12.3,1.08326980194116,155.75456742046,-9.0012436628784,75.06091911472,55.06091911472,320694.795186832,0.582377043415382,0.339163020697242
5,LEO1,LEO,65175,1,58.1816092387151,550.496788398585,20,14.5307904465305,10.5,0.672615687744713,173.285695706053,14.6295467836521,79.7712353898544,59.7712353898544,948688.287868659,0.338601153704732,0.114650741290176
6,LEO2,LEO,66864,1,48.4626833699962,634.101469368785,20,15.5176352270465,10.5,0.763552487493704,174.513775104381,15.6163915641681,79.4390639722935,59.4390639722935,878833.082978084,0.351800947183612,0.123763906439287
7,LEO3,LEO,65348,1,36.1151985550468,751.494893305294,20,16.771379839026,10.5,0.969675970177783,175.989120588003,16.8701361761476,79.0113396179673,59.0113396179673,796404.970365326,0.369558522501588,0.136573501553557
8,LEO4,LEO,59340,1,34.1832164545087,807.594226311861,20,16.9675503292345,10.5,1.0172580522167,176.61446402139,17.0663066663561,78.5345845927497,58.5345845927497,713605.944697042,0.390410036128562,0.152419996309905
9,LEO5,LEO,67736,1,26.6029972906605,946.603087445257,20,17.737234121256,10.5,1.27630611563679,177.993958245905,17.8359904583776,77.6657260968354,57.6657260968354,584214.873798252,0.431483207215051,0.186177758108587
10,LEO6,LEO,59960,1,22.2211071730396,1054.22240542448,20,14.0836538509744,10.5,1.51127657988506,178.929244754327,14.182410188096,72.8418888538842,52.8418888538842,192392.831087621,0.751892512981125,0.565342351077071
11,LEO7,LEO,65279,1,29.0261700760882,1027.03279067693,20,17.4911888845818,10.5,1.17791981523625,178.702286109134,17.5899452217034,76.8097392973333,56.8097392973333,479704.651578283,0.476171324432575,0.226739130211873
12,LEO8,LEO,48482,1,27.2265586916874,934.495277251768,20,17.673918655921,10.5,1.24923426291456,177.882142130976,17.7726749930426,77.7412985991523,57.7412985991523,594469.886567113,0.427745326386106,0.182966064245157
13,MEO1,MEO,62362,1,50.8254936753428,8914.41612498007,20,29.7,18.4,0.737252920016204,197.472457975109,29.7987563371216,78.5890454419962,58.5890454419962,722610.959795931,0.38796980891604,0.150520572630349
14,MEO2,MEO,40081,1,50.5978594925521,8929.12737081602,20,29.7,18.4,0.739653252458749,197.486780274573,29.7987563371216,78.5723228100898,58.5723228100898,719833.87590072,0.388717472773594,0.15110127363949
15,MEO3,MEO,44115,1,40.0608583062817,9480.6469131063,20,29.7,18.4,0.888030674601114,198.007359363009,29.7987563371216,77.9033662995117,57.9033662995117,617073.12170494,0.419838138774103,0.176264062769303
16,MEO4,MEO,43231,1,31.9656135942818,10009.8189117645,20,29.7,18.4,1.07957374632813,198.479124327336,29.7987563371216,77.2400582634576,57.2400582634576,529670.549722351,0.453155535904566,0.205349939720954
17,MEO5,MEO,43234,1,15.474722959814,11363.2689821395,20,29.7,18.4,2.14208780592597,199.580665654645,29.7987563371216,75.0760028765508,55.0760028765508,321810.557460591,0.581366575409311,0.33798709500315
18,MEO6,MEO,40080,1,15.4719989177166,11360.822993636,20,29.7,18.4,2.14245573333897,199.578795781358,29.7987563371216,75.0775048224249,55.0775048224249,321921.870324854,0.581266055407829,0.337870227169378
19,MEO7,MEO,40079,1,8.58929996902373,12042.0873508033,20,29.7,18.4,3.82681433832879,200.084635376572,29.7987563371216,72.8873066222207,52.8873066222207,194415.399555796,0.747971192888505,0.559460905391054
20,GEO1,GEO,41589,1,6.27790837953716,40986.5366337528,19.95,37.9151498112135,20.5205999132796,5.12729127211906,210.701682439292,38.0139061483351,71.3055323502035,51.3055323502035,135068.238187507,0.897374213107007,0.80528047834942
21,GEO2,GEO,41904,1,37.3454914174702,37984.9584547502,19.95,37.9151498112135,20.5205999132796,0.924260532655901,210.041091115257,38.0139061483351,76.1691544137014,56.1691544137014,413919.075505377,0.512616383478002,0.262775556610066
22,GEO3,GEO,42692,1,45.5833658381813,37368.2471769226,19.95,37.9151498112135,20.5205999132796,0.784962422891307,209.898912540138,38.0139061483351,76.4506310985853,56.4506310985853,441634.619187202,0.496270714905508,0.246284622472824
23,GEO4,GEO,43562,1,55.2029563232077,36758.3934390449,19.95,37.9151498112135,20.5205999132796,0.682768276245847,209.755988437868,38.0139061483351,76.6957493475008,56.6957493475008,467277.569988658,0.482461580988322,0.232769177129751
24,GEO5,GEO,43175,1,62.8111011162664,36383.2889997112,19.95,37.9151498112135,20.5205999132796,0.630322241749072,209.666897123076,38.0139061483351,76.83728669679,56.83728669679,482757.099921624,0.47466353382079,0.225305470339241
25,GEO6,GEO,43228,1,59.3349330818663,36532.8887725706,19.95,37.9151498112135,20.5205999132796,0.651823528706248,209.702538292974,38.0139061483351,76.7801442399346,56.7801442399346,476446.810519152,0.477796529636668,0.228289523732843
26,GEO7,GEO,38087,1,54.0922071564024,36819.9882359048,19.95,37.9151498112135,20.5205999132796,0.692223608220087,209.770530908648,38.0139061483351,76.6717515447464,56.6717515447464,464702.655771096,0.48379639264707,0.234058949538318
